시도명,구시군명,선거명,기초의원들
경기,화성시,구시군의원,새누리당 서재일 / 새누리당 이창현 / 새정치민주연합 조병수 / 새정치민주연합 이홍근 / 새누리당 김혜진 / 새누리당 김정주 / 새누리당 박기영 / 새정치민주연합 김홍성 / 새누리당 용환보 / 새정치민주연합 박진섭 / 새누리당 오문섭 / 새정치민주연합 최용주 / 새정치민주연합 박종선 / 새누리당 이선주 / 새정치민주연합 이성희 / 새정치민주연합 원유민 / 
경기,화성시,구시군장,새정치민주연합 채인석 / 
경기,화성시,기초의원비례대표,새누리당 허인숙 / 새정치민주연합 노경애 / 
경남,거제시,구시군의원,새누리당 신금자 / 새누리당 이형철 / 새누리당 반대식 / 새정치민주연합 김성갑 / 새누리당 옥삼수 / 새누리당 윤부원 / 새정치민주연합 박명옥 / 새누리당 전기풍 / 노동당 송미량 / 새누리당 조호현 / 새누리당 임수환 / 무소속 진양민 / 노동당 한기수 / 무소속 김경진 / 
경남,거제시,구시군장,새누리당 권민호 / 
경남,거제시,기초의원비례대표,새누리당 김복희 / 새정치민주연합 최양희 / 
경남,거창군,구시군의원,새누리당 표주숙 / 새누리당 최광열 / 무소속 강철우 / 새누리당 김종두 / 무소속 형남현 / 새누리당 변상원 / 무소속 이홍희 / 새누리당 이성복 / 새누리당 권재경 / 
경남,거창군,구시군장,새누리당 이홍기 / 
경남,거창군,기초의원비례대표,새누리당 박희순 / 새정치민주연합 김향란 / 
경남,고성군(경남),구시군의원,새누리당 정도범 / 무소속 김상준 / 무소속 김홍식 / 새누리당 최을석 / 새누리당 최상림 / 새누리당 강영봉 / 새누리당 박용삼 / 새누리당 황보길 / 새누리당 공점식 / 
경남,고성군(경남),구시군장,새누리당 하학열 / 
경남,고성군(경남),기초의원비례대표,새누리당 박덕해 / 새정치민주연합 이쌍자 / 
경남,김해시,구시군의원,새누리당 엄정 / 새누리당 김명식 / 새정치민주연합 송유인 / 새누리당 송영환 / 새정치민주연합 김형수 / 새누리당 옥영숙 / 새누리당 박정규 / 새정치민주연합 조성윤 / 새누리당 전명현 / 새누리당 류명열 / 새정치민주연합 권요찬 / 새누리당 이정화 / 새정치민주연합 김재금 / 무소속 이영철 / 새누리당 배창한 / 새정치민주연합 배병돌 / 새누리당 우미선 / 새누리당 전영기 / 새정치민주연합 박민정 / 
경남,김해시,구시군장,새정치민주연합 김맹곤 / 
경남,김해시,기초의원비례대표,새누리당 박진숙 / 새누리당 김동순 / 새정치민주연합 김명희 / 
경남,남해군,구시군의원,새누리당 김정숙 / 무소속 박득주 / 무소속 하복만 / 새누리당 김두일 / 무소속 박삼준 / 새누리당 박종길 / 새누리당 박광동 / 새누리당 윤정근 / 무소속 정홍찬 / 
경남,남해군,구시군장,새누리당 박영일 / 
경남,남해군,기초의원비례대표,새누리당 박미선 / 
경남,밀양시,구시군의원,새누리당 박필호 / 새누리당 손문규 / 새누리당 최남기 / 새누리당 황걸연 / 새누리당 김상득 / 무소속 황인구 / 새누리당 조인옥 / 새누리당 허홍 / 무소속 정윤호 / 새누리당 정정규 / 새누리당 조인종 / 
경남,밀양시,구시군장,새누리당 박일호 / 
경남,밀양시,기초의원비례대표,새누리당 조영자 / 새정치민주연합 이주옥 / 
경남,사천시,구시군의원,새누리당 구정화 / 새누리당 한대식 / 새정치민주연합 최용석 / 새누리당 이종범 / 무소속 김봉균 / 새누리당 정철용 / 새누리당 김현철 / 새누리당 윤형근 / 새누리당 최갑현 / 새정치민주연합 조익래 / 
경남,사천시,구시군장,무소속 송도근 / 
경남,사천시,기초의원비례대표,새누리당 정지선 / 새정치민주연합 김영애 / 
경남,산청군,구시군의원,새누리당 정명순 / 무소속 이승화 / 새누리당 신동복 / 새누리당 민영현 / 새누리당 김명석 / 새누리당 조성환 / 새누리당 심재화 / 새누리당 이만규 / 무소속 김영일 / 
경남,산청군,구시군장,새누리당 허기도 / 
경남,산청군,기초의원비례대표,새누리당 왕선희 / 
경남,양산시,구시군의원,새누리당 김효진 / 새정치민주연합 임정섭 / 무소속 박말태 / 새누리당 정경효 / 무소속 이종희 / 새누리당 한옥문 / 새누리당 김정희 / 새누리당 이기준 / 새누리당 이호근 / 새정치민주연합 이상걸 / 새누리당 이채화 / 새정치민주연합 박대조 / 새누리당 이상정 / 새정치민주연합 박일배 / 
경남,양산시,구시군장,새누리당 나동연 / 
경남,양산시,기초의원비례대표,새누리당 이정애 / 새정치민주연합 차예경 / 
